,Decipher,key
0,WELCOME TO GRAVITY FALLS,0
1,VDKBNLD SN FQZUHSX EZKKR,1
2,UCJAMKC RM EPYTGRW DYJJQ,2
3,TBIZLJB QL DOXSFQV CXIIP,3
4,SAHYKIA PK CNWREPU BWHHO,4
5,RZGXJHZ OJ BMVQDOT AVGGN,5
6,QYFWIGY NI ALUPCNS ZUFFM,6
7,PXEVHFX MH ZKTOBMR YTEEL,7
8,OWDUGEW LG YJSNALQ XSDDK,8
9,NVCTFDV KF XIRMZKP WRCCJ,9
10,MUBSECU JE WHQLYJO VQBBI,10
11,LTARDBT ID VGPKXIN UPAAH,11
12,KSZQCAS HC UFOJWHM TOZZG,12
13,JRYPBZR GB TENIVGL SNYYF,13
14,IQXOAYQ FA SDMHUFK RMXXE,14
15,HPWNZXP EZ RCLGTEJ QLWWD,15
16,GOVMYWO DY QBKFSDI PKVVC,16
17,FNULXVN CX PAJERCH OJUUB,17
18,EMTKWUM BW OZIDQBG NITTA,18
19,DLSJVTL AV NYHCPAF MHSSZ,19
20,CKRIUSK ZU MXGBOZE LGRRY,20
21,BJQHTRJ YT LWFANYD KFQQX,21
22,AIPGSQI XS KVEZMXC JEPPW,22
23,ZHOFRPH WR JUDYLWB IDOOV,23
24,YGNEQOG VQ ITCXKVA HCNNU,24
25,XFMDPNF UP HSBWJUZ GBMMT,25
